OID_,Field1,Longitude,Latitude,GeothermGrad,Kriging_Predicted_Gradient
44,43,-108.9602315,32.1941258,62.8299065,169.5278931
45,44,-109.0339385,32.9001065,50.4000015,55.9233055
46,45,-108.8346278,32.1612274,416.8241272,378.2946777
47,46,-107.2005831,32.2334332,80.9547272,80.0288391
48,47,-107.0405909,34.0850866,35.7261581,37.3579674
49,48,-106.8005705,32.016841,62.5166664,62.055378
50,49,-107.5629024,33.6184954,64.5731506,64.9432297
51,50,-108.8316263,31.9423334,57.7047501,52.0960426
52,51,-106.9505838,33.4168034,51.6884537,45.9219627
53,52,-108.7306228,31.8361369,50.7669678,55.0436211
54,53,-107.0838811,32.4334283,26.1424026,47.8153381
55,54,-106.9295912,34.5794755,35.5083351,35.0084915
56,55,-106.7005666,31.8334465,92.8386841,89.2255936
57,56,-108.433915,31.9001366,45.4500008,47.7731094
58,57,-106.9655881,33.998389,78.6310272,78.3626404
59,58,-106.6985671,31.923944,59.7097664,76.3172302
60,59,-106.9183902,34.4887777,34.2677612,37.7893143
61,60,-106.7172699,32.284634,271.25,246.0053711
62,61,-108.1922114,32.3583251,42.6563721,45.0234756
63,62,-106.7862695,31.9170438,59.1056747,66.9217072
64,63,-107.5566976,32.931013,87.8738022,77.5998459
65,64,-107.3431957,33.5466983,41.9666672,52.259964
66,65,-106.9538881,34.043388,107.1941605,101.3371353
67,66,-108.8146273,32.1676273,369.1745911,325.8269043
68,67,-107.27259,32.9976126,47.5,42.9368515
69,68,-108.9496303,32.0571297,52.4185905,132.7340088
70,69,-108.9898407,33.3717945,49.9000015,53.0795822
71,70,-107.66911,34.2635793,55.3342628,67.5204163
72,71,-108.7796263,32.1561278,78.3513031,270.4463501
73,72,-106.6485655,31.8823454,96.3489075,89.1034622
74,73,-108.8512295,32.3334559,39.7008324,49.1814537
75,74,-108.4506342,34.530069,31.25,31.9929676
76,75,-107.4679028,34.0449855,105.8100891,91.4517593
77,76,-107.1521838,32.5570247,57.6166687,55.6484489
78,77,-106.9722884,34.0033889,78.0244217,79.3516006
79,78,-106.9172875,34.1000868,118.8251495,115.3878784
80,79,-107.5226002,33.4564997,61.27528,56.0197716
81,80,-108.7976265,32.1137289,83.5795135,239.1425781
82,81,-107.1646905,33.5173999,55.1661682,51.7698555
83,82,-107.2980955,33.6950948,53.994236,54.1232109
84,83,-107.5917985,32.9293128,89.1733475,79.0355301
85,84,-108.8026269,32.1463279,228.1830597,296.1556396
86,85,-107.5163965,32.9429128,88.2249985,73.5406723
